timeline,q,cap,K,period,pattern,victim,max_elapsed,argmax_session,c_actual,within_cap,violation_gt40
model,19,2,4,5,others-max,0,38,3,690,1,0
model,19,2,4,5,victim-max,2,37,2,690,1,0
model,19,2,4,5,others-max,2,37,0,690,1,0
model,19,2,4,5,victim-max,3,37,3,690,1,0
model,19,2,4,5,others-max,3,37,0,690,1,0
model,19,2,4,5,front-max,,24,0,436,1,0
model,19,2,4,5,back-max,,26,3,460,1,0
model,19,2,4,5,tail-max,,20,3,304,1,0
model,19,2,5,1,all-max,,38,1,690,1,0
model,19,2,5,1,victim-max,0,37,0,690,1,0
model,19,2,5,1,others-max,0,38,3,690,1,0
model,19,2,5,1,victim-max,2,37,2,690,1,0
model,19,2,5,1,others-max,2,38,3,690,1,0
model,19,2,5,1,victim-max,4,37,4,690,1,0
model,19,2,5,1,others-max,4,38,2,690,1,0
model,19,2,5,1,front-max,,24,0,436,1,0
model,19,2,5,1,back-max,,26,4,460,1,0
model,19,2,5,1,tail-max,,21,4,304,1,0
model,19,2,5,2,all-max,,38,1,690,1,0
model,19,2,5,2,victim-max,0,37,0,690,1,0
model,19,2,5,2,others-max,0,37,1,690,1,0
model,19,2,5,2,victim-max,2,37,2,690,1,0
model,19,2,5,2,others-max,2,38,4,690,1,0
model,19,2,5,2,victim-max,4,37,4,690,1,0
model,19,2,5,2,others-max,4,37,0,690,1,0
model,19,2,5,2,front-max,,24,0,436,1,0
model,19,2,5,2,back-max,,26,0,460,1,0
model,19,2,5,2,tail-max,,20,4,304,1,0
model,19,2,5,3,all-max,,38,2,690,1,0
model,19,2,5,3,victim-max,0,37,0,690,1,0
model,19,2,5,3,others-max,0,37,1,690,1,0
model,19,2,5,3,victim-max,2,37,2,690,1,0
model,19,2,5,3,others-max,2,37,0,690,1,0
model,19,2,5,3,victim-max,4,37,4,690,1,0
model,19,2,5,3,others-max,4,37,0,690,1,0
model,19,2,5,3,front-max,,24,0,436,1,0
model,19,2,5,3,back-max,,26,0,460,1,0
model,19,2,5,3,tail-max,,21,4,304,1,0
model,19,2,5,5,all-max,,38,0,690,1,0
model,19,2,5,5,victim-max,0,37,0,690,1,0
model,19,2,5,5,others-max,0,38,4,690,1,0
model,19,2,5,5,victim-max,2,37,2,690,1,0
model,19,2,5,5,others-max,2,37,0,690,1,0
model,19,2,5,5,victim-max,4,37,4,690,1,0
model,19,2,5,5,others-max,4,37,0,690,1,0
model,19,2,5,5,front-max,,24,0,436,1,0
model,19,2,5,5,back-max,,26,1,460,1,0
model,19,2,5,5,tail-max,,20,4,304,1,0
model,19,2,6,1,all-max,,38,1,690,1,0
model,19,2,6,1,victim-max,0,37,0,690,1,0
model,19,2,6,1,others-max,0,38,4,690,1,0
model,19,2,6,1,victim-max,3,37,3,690,1,0
model,19,2,6,1,others-max,3,38,4,690,1,0
model,19,2,6,1,victim-max,5,37,5,690,1,0
model,19,2,6,1,others-max,5,38,3,690,1,0
model,19,2,6,1,front-max,,24,0,436,1,0
model,19,2,6,1,back-max,,26,5,460,1,0
model,19,2,6,1,tail-max,,22,5,304,1,0
model,19,2,6,2,all-max,,38,1,690,1,0
model,19,2,6,2,victim-max,0,37,0,690,1,0
model,19,2,6,2,others-max,0,38,4,690,1,0
model,19,2,6,2,victim-max,3,37,3,690,1,0
model,19,2,6,2,others-max,3,38,2,690,1,0
model,19,2,6,2,victim-max,5,37,5,690,1,0
model,19,2,6,2,others-max,5,38,3,690,1,0
model,19,2,6,2,front-max,,25,0,436,1,0
