N,K,regime,finish,slack,auth_span,hidden_len,overflow_len
26,19,rejected,1111,284,154,0,154
26,20,rejected,1118,277,161,0,161
27,0,hidden,993,402,0,0,0
27,1,paid,1021,374,28,0,28
27,2,paid,1028,367,35,0,35
27,3,paid,1035,360,42,0,42
27,4,paid,1042,353,49,0,49
27,5,paid,1049,346,56,0,56
27,6,paid,1056,339,63,0,63
27,7,paid,1063,332,70,0,70
27,8,paid,1070,325,77,0,77
27,9,paid,1077,318,84,0,84
27,10,paid,1084,311,91,0,91
27,11,paid,1091,304,98,0,98
27,12,rejected,1098,297,105,0,105
27,13,rejected,1105,290,112,0,112
27,14,rejected,1112,283,119,0,119
27,15,rejected,1119,276,126,0,126
27,16,rejected,1126,269,133,0,133
27,17,rejected,1133,262,140,0,140
27,18,rejected,1140,255,147,0,147
27,19,rejected,1147,248,154,0,154
27,20,rejected,1154,241,161,0,161
28,0,hidden,1029,366,0,0,0
28,1,paid,1057,338,28,0,28
28,2,paid,1064,331,35,0,35
28,3,paid,1071,324,42,0,42
28,4,paid,1078,317,49,0,49
28,5,paid,1085,310,56,0,56
28,6,paid,1092,303,63,0,63
28,7,paid,1099,296,70,0,70
28,8,paid,1106,289,77,0,77
28,9,paid,1113,282,84,0,84
28,10,paid,1120,275,91,0,91
28,11,rejected,1127,268,98,0,98
28,12,rejected,1134,261,105,0,105
28,13,rejected,1141,254,112,0,112
28,14,rejected,1148,247,119,0,119
28,15,rejected,1155,240,126,0,126
28,16,rejected,1162,233,133,0,133
28,17,rejected,1169,226,140,0,140
28,18,rejected,1176,219,147,0,147
28,19,rejected,1183,212,154,0,154
28,20,rejected,1190,205,161,0,161
29,0,hidden,1065,330,0,0,0
29,1,paid,1093,302,28,0,28
29,2,paid,1100,295,35,0,35
29,3,paid,1107,288,42,0,42
29,4,paid,1114,281,49,0,49
29,5,paid,1121,274,56,0,56
29,6,paid,1128,267,63,0,63
29,7,paid,1135,260,70,0,70
29,8,paid,1142,253,77,0,77
29,9,paid,1149,246,84,0,84
29,10,rejected,1156,239,91,0,91
29,11,rejected,1163,232,98,0,98
29,12,rejected,1170,225,105,0,105
29,13,rejected,1177,218,112,0,112
29,14,rejected,1184,211,119,0,119
29,15,rejected,1191,204,126,0,126
29,16,rejected,1198,197,133,0,133
29,17,rejected,1205,190,140,0,140
29,18,rejected,1212,183,147,0,147
29,19,rejected,1219,176,154,0,154
29,20,rejected,1226,169,161,0,161
30,0,hidden,1101,294,0,0,0
30,1,paid,1129,266,28,0,28
30,2,paid,1136,259,35,0,35
30,3,paid,1143,252,42,0,42
30,4,paid,1150,245,49,0,49
30,5,paid,1157,238,56,0,56
30,6,paid,1164,231,63,0,63
30,7,paid,1171,224,70,0,70
30,8,paid,1178,217,77,0,77
30,9,rejected,1185,210,84,0,84
30,10,rejected,1192,203,91,0,91
30,11,rejected,1199,196,98,0,98
30,12,rejected,1206,189,105,0,105
30,13,rejected,1213,182,112,0,112
30,14,rejected,1220,175,119,0,119
30,15,rejected,1227,168,126,0,126
30,16,rejected,1234,161,133,0,133
30,17,rejected,1241,154,140,0,140
30,18,rejected,1248,147,147,0,147
30,19,rejected,1255,140,154,0,154
30,20,rejected,1262,133,161,0,161
31,0,hidden,1137,258,0,0,0
31,1,paid,1165,230,28,0,28
31,2,paid,1172,223,35,0,35
31,3,paid,1179,216,42,0,42
31,4,paid,1186,209,49,0,49
31,5,paid,1193,202,56,0,56
31,6,paid,1200,195,63,0,63
31,7,paid,1207,188,70,0,70
31,8,rejected,1214,181,77,0,77
31,9,rejected,1221,174,84,0,84
31,10,rejected,1228,167,91,0,91
31,11,rejected,1235,160,98,0,98
31,12,rejected,1242,153,105,0,105
31,13,rejected,1249,146,112,0,112
31,14,rejected,1256,139,119,0,119
31,15,rejected,1263,132,126,0,126
31,16,rejected,1270,125,133,0,133
31,17,rejected,1277,118,140,0,140
31,18,rejected,1284,111,147,0,147
31,19,rejected,1291,104,154,0,154
31,20,rejected,1298,97,161,0,161
32,0,hidden,1173,222,0,0,0
32,1,paid,1201,194,28,0,28
32,2,paid,1208,187,35,0,35
32,3,paid,1215,180,42,0,42
32,4,paid,1222,173,49,0,49
