N,K,IFS,finish_measured,finish_predicted,delta,delta_pred,knee_empirical,knee_predicted
23,4,3,1051,1051,52,52,14,14
23,8,3,1079,1079,80,80,12,12
23,16,3,1135,1135,136,136,9,9
24,0,3,1041,1041,0,0,0,0
24,1,3,1072,1072,31,31,15,15
24,4,3,1093,1093,52,52,14,14
24,8,3,1121,1121,80,80,12,12
24,16,3,1177,1177,136,136,9,9
25,0,3,1083,1083,0,0,0,0
25,1,3,1114,1114,31,31,15,15
25,4,3,1135,1135,52,52,14,14
25,8,3,1163,1163,80,80,12,12
25,16,3,1219,1219,136,136,9,9
26,0,3,1125,1125,0,0,0,0
26,1,3,1156,1156,31,31,15,15
26,4,3,1177,1177,52,52,14,14
26,8,3,1205,1205,80,80,12,12
26,16,3,1261,1261,136,136,9,9
27,0,3,1167,1167,0,0,0,0
27,1,3,1198,1198,31,31,15,15
27,4,3,1219,1219,52,52,14,14
27,8,3,1247,1247,80,80,12,12
27,16,3,1303,1303,136,136,9,9
28,0,3,1209,1209,0,0,0,0
28,1,3,1240,1240,31,31,15,15
28,4,3,1261,1261,52,52,14,14
28,8,3,1289,1289,80,80,12,12
28,16,3,1345,1345,136,136,9,9
29,0,3,1251,1251,0,0,0,0
29,1,3,1282,1282,31,31,15,15
29,4,3,1303,1303,52,52,14,14
29,8,3,1331,1331,80,80,12,12
29,16,3,1387,1387,136,136,9,9
30,0,3,1293,1293,0,0,0,0
30,1,3,1324,1324,31,31,15,15
30,4,3,1345,1345,52,52,14,14
30,8,3,1373,1373,80,80,12,12
30,16,3,1429,1429,136,136,9,9
31,0,3,1335,1335,0,0,0,0
31,1,3,1366,1366,31,31,15,15
31,4,3,1387,1387,52,52,14,14
31,8,3,1415,1415,80,80,12,12
31,16,3,1471,1471,136,136,9,9
32,0,3,1377,1377,0,0,0,0
32,1,3,1408,1408,31,31,15,15
32,4,3,1429,1429,52,52,14,14
32,8,3,1457,1457,80,80,12,12
32,16,3,1513,1513,136,136,9,9
33,0,3,1419,1419,0,0,0,0
33,1,3,1450,1450,31,31,15,15
33,4,3,1471,1471,52,52,14,14
33,8,3,1499,1499,80,80,12,12
33,16,3,1555,1555,136,136,9,9
34,0,3,1461,1461,0,0,0,0
34,1,3,1492,1492,31,31,15,15
34,4,3,1513,1513,52,52,14,14
34,8,3,1541,1541,80,80,12,12
34,16,3,1597,1597,136,136,9,9
35,0,3,1503,1503,0,0,0,0
35,1,3,1534,1534,31,31,15,15
